         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 datastructures.py:1740(_CacheControl)
        1    0.000    0.000    0.000    0.000 rfc822.py:85(Message)
        2    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:828(flush)
        2    0.000    0.000    0.000    0.000 __init__.py:839(emit)
        1    0.000    0.000    0.000    0.000 ctx.py:189(RequestContext)
        1    0.000    0.000    0.000    0.000 datastructures.py:315(MultiDict)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 {math.exp}
       29    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        3    0.000    0.000    0.000    0.000 warnings.py:318(__init__)
        3    0.000    0.000    0.000    0.000 _compat.py:47(implements_to_string)
        1    0.000    0.000    0.000    0.000 wrappers.py:1205(AcceptMixin)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 decoder.py:17(_floatconstants)
        1    0.000    0.000    0.000    0.000 SocketServer.py:160(BaseServer)
        1    0.000    0.000    0.000    0.000 datastructures.py:2481(FileStorage)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 routing.py:1224(MapAdapter)
        7    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
